UserID,Name,Short Description,Long Description,Category,Gender,Age,Language,Accent,Tone,Keywords,Sample File Name,Number of Users,Number of Characters of Audio Generated
Rn9Yq7uum9irZ6RwppDN,Brandon - Young Male American Voice Over,Young Male with American accent,"A young American male in his early twenties. This voice profile is trained on movie recap videos. Great for news, business, and dramatic story reads.",professional,male,young,en,american,confident,"male, young, en, american, confident",voice_preview_Brandon - Young Male American Voice Over,685,8210102
L55dxfJcuGgA6v2SWaAQ,Scary Story ,Young Male with American accent,"A young American male voice, perfect to use for scary stories. ",professional,male,young,en,american,serious,"male, young, en, american, serious",voice_preview_Scary Story ,416,2114998
ejRHmHklwLai3s6pZ0U5,King Chuku,Young Male with American accent,A young stoic King with a powerful voice. Perfect for insightful storytelling and inspiring speeches. ,professional,male,young,en,american,deep,"male, young, en, american, deep",voice_preview_King Chuku,15,23641
NuIlfu52nTXRM2NXDrjS,Dylan,Young Male with American accent,A young male with a calm voice. Good for narration.,professional,male,young,en,american,calm,"male, young, en, american, calm",voice_preview_Dylan,685,1603613
WV1q3LPagg6vb034LpdG,Mathhew ,Young Male with American accent,American male with a peaceful tone. Voice is calm and relaxing. Ideal for meditation. ,professional,male,young,en,american,deep,"male, young, en, american, deep",voice_preview_Mathhew ,39,43048
grrAjj2eW6HOAMCIlTKI,Junaid,Young Male with American accent,A young man with an American accent. Voice is good for story telling and explainer videos.,professional,male,young,en,american,deep,"male, young, en, american, deep",voice_preview_Junaid,68,120222
UI9arZeSp7bIUhGbx36K,Don Kim,Young Male with American accent,A young male voice with a calm and slightly raspy tone. Good for audiobook. ,professional,male,young,en,american,calm,"male, young, en, american, calm",voice_preview_Don Kim,52,101648
AiVXo6AkAsMPEX0qNgmP,Matt Landon ,Young Male with American accent,"Youthful young American adult male. Great voice for audio books, podcasts, or just having a great conversation with a down-to-earth guy. ",professional,male,young,en,american,professional,"male, young, en, american, professional",voice_preview_Matt Landon ,1663,4253446
1iLFS7gQ4BspWbYH1XPF,Bails,Young Male with American accent,"Young American male with a natural richness and depth, resonating with a sense of sincerity and authenticity.",professional,male,young,en,american,relaxed,"male, young, en, american, relaxed",voice_preview_Bails,7,5500
8riBCvtxjQFA3tP1sfno,Jordan - Warm Narrator,Young Male with American accent,Young American male with a simple and warm voice. Perfect for storytelling.,professional,male,young,en,american,gentle,"male, young, en, american, gentle",voice_preview_Jordan - Warm Narrator,1018,2137953
KZE95Y4yOlNm03HNbQke,King Chuku,Young Male with American accent,A young stoic male with a powerful voice. Perfect for an epic tale or a historic speech.,professional,male,young,en,american,deep,"male, young, en, american, deep",voice_preview_King Chuku,21,38879
yDUXXKsu0jF5vdJnWAPU,Jake - Confident & Engaging,Young Male with American accent,An American male in his early 30s with a confident tone. Voice is Suitable for telling engaging stories.,professional,male,young,en,american,confident,"male, young, en, american, confident",voice_preview_Jake - Confident & Engaging,334,1254683
sjwRAsCdMJodJszgJ6Ks,Anthony Francis,Young Male with American accent,Young American male voice. Works well for Audiobooks.,professional,male,young,en,american,casual,"male, young, en, american, casual",voice_preview_Anthony Francis,810,2553328
bU2VfAdiOb2Gv2eZWlFq,CarterSutra,Young Male with American accent,"Young American male voice. Smooth as a molten stream of molasses, slow and languid, drawing you in with its sultry cadence, each syllable a delicious indulgence that lingered on the lips.
     ",professional,male,young,en,american,gentle,"male, young, en, american, gentle",voice_preview_CarterSutra,505,5389751
EgE9zSUyYMSx4RrGjCFs,Sahand RZ,Young Male with American accent,"Young male with a slow, mildly deep voice with American accent. Great for storytelling and narration. ",professional,male,young,en,american,calm,"male, young, en, american, calm",voice_preview_Sahand RZ,17,31617
W8eNcxOi6okJoM7DVevi,Thomas Grey,Young Male with American accent,Young American male with a deep radio host or podcast-like voice. ,professional,male,young,en,american,calm,"male, young, en, american, calm",voice_preview_Thomas Grey,10,3330
AxblkYAT25eyLk0hDMy8,Max - deep voice,Young Male with American accent,"A young male voice. Breathy, confident, clear, loud. Perfect for narrating things in a friendly and relatable manner. ",professional,male,young,en,american,crisp,"male, young, en, american, crisp",voice_preview_Max - deep voice,59,75535
8JVbfL6oEdmuxKn5DK2C,Johnny Kid  - Serious,Young Male with American accent,Young American male with a serious and calm voice. Perfect for audiobooks.,professional,male,young,en,american,calm,"male, young, en, american, calm",voice_preview_Johnny Kid  - Serious,0,0
